,Price,Make,Model,Trim,Mi,Year,Fuel type,Body type,Color,Power,Transmission,Park assist,Service history,Immobilizer,Cruise control
49,"1,950 EUR",Renault,R4,NaN,"130,743km",1985,Petrol,NaN,Blue,NaN,Manual,0,0,0,0
50,"4,850 EUR",Renault,R4,NaN,"185,000km",1985,Petrol,NaN,White,NaN,Manual,0,0,0,0
51,"9,600 EUR",Renault,R4,NaN,"88,600KM",1985,Petrol,NaN,Blue,NaN,Manual,0,0,0,0
52,"3,700 EUR",Renault,R4,NaN,"1,000km",1985,Petrol,NaN,White,NaN,Manual,0,0,0,0
53,"3,500 EUR",Renault,R4,NaN,"129,000km",1985,Petrol,NaN,Yellow,NaN,Manual,0,0,0,0
54,"2,150 EUR",Renault,R4,NaN,"130,743km",1985,Petrol,NaN,Blue,NaN,Manual,0,0,0,0
55,"1,099 EUR",Peugeot,505,NaN,"197,500km",1985,Petrol,NaN,Gray,NaN,Manual,0,0,0,0
56,"4,999 EUR",Peugeot,505,NaN,"119,000km",1985,Petrol,NaN,Gray,NaN,Automatic,0,0,0,0
57,"11,499 EUR",Peugeot,505,NaN,"112,600km",1985,Petrol,NaN,Gray,NaN,Manual,0,0,0,0
58,"6,250 EUR",Peugeot,505,NaN,"189,480km",1985,Petrol,NaN,Gray,NaN,Manual,0,0,0,0
59,"15,000 EUR",Peugeot,505,NaN,"75,000km",1985,Petrol,NaN,Blue,NaN,Automatic,0,0,0,0
60,"3,000 EUR",Peugeot,505,NaN,"230,000km",1985,Diesel,NaN,White,NaN,Manual,0,0,0,0
61,"1,800 EUR",Peugeot,505,NaN,"270,000km",1985,Diesel,NaN,White,NaN,Manual,0,0,0,0
62,"1,700 EUR",Peugeot,505,NaN,"119,000km",1985,Diesel,NaN,White,NaN,Manual,0,0,0,0
63,"1,500 EUR",Peugeot,505,NaN,"158,000km",1985,Diesel,NaN,Green,NaN,Manual,0,0,0,0
64,"4,990 EUR",Peugeot,505,NaN,"152,000km",1985,Petrol,NaN,Gray,NaN,Automatic,0,0,0,0
65,"2,400 EUR",Peugeot,505,NaN,"299,012km",1985,Diesel,NaN,Gray,NaN,Automatic,0,0,0,0
66,"6,600 EUR",Jaguar,Xjs,NaN,"57,003km",1985,Petrol,Convertible,Black,NaN,Automatic,0,0,0,0
67,"14,500 EUR",Jaguar,Xj,NaN,"155,500km",1985,Petrol,Sedan,Black,NaN,Automatic,0,0,0,0
68,"29,950 EUR",Jaguar,Xj,NaN,"33,521km",1985,Petrol,NaN,Red,NaN,Automatic,0,0,0,0
69,"21,950 EUR",Jaguar,Xjs,NaN,"127,800km",1985,Petrol,NaN,White,NaN,Manual,0,0,0,0
70,"10,800 EUR",Jaguar,Xj,NaN,"71,000km",1985,Petrol,NaN,Black,NaN,Manual,0,0,0,0
71,"30,950 EUR",Jaguar,Xjs,NaN,"127,800km",1985,Petrol,NaN,White,NaN,Automatic,0,0,0,0
72,"7,450 EUR",Jaguar,Xj,NaN,"98,897km",1985,Diesel,NaN,Gray,NaN,Automatic,0,0,0,0
73,"6,781 EUR",Plymouth,Gran Fury,NaN,"64,373km",1985,Petrol,NaN,Red,NaN,Manual,0,0,0,0
74,"1,356 EUR",Plymouth,Caravelle Turbo,NaN,"104,382km",1985,Petrol,Sedan,Gray,NaN,Manual,0,0,0,0
75,"4,950 EUR",Audi,80,NaN,"123,628km",1985,Petrol,NaN,Pink,55 kW (75 HP),Manual,0,0,0,0
76,"1,500 EUR",Audi,80,NaN,"230,000km",1985,Petrol,NaN,Gray,55 kW (75 HP),Manual,0,0,0,0
77,"1,750 EUR",Audi,80,NaN,"123,628km",1985,Petrol,NaN,Red,55 kW (75 HP),Manual,0,0,0,0
78,"2,995 EUR",Audi,80,NaN,"182,000km",1985,Petrol,NaN,Brown,55 kW (75 HP),Manual,0,0,0,0
79,"3,700 EUR",Audi,80,NaN,"109,000km",1985,Petrol,NaN,Black,66 kW (90 HP),Automatic,0,0,0,0
80,"4,500 EUR",Audi,80,NaN,"88,336km",1985,Petrol,NaN,Gray,66 kW (90 HP),Manual,0,0,0,0
81,"11,781 EUR",Dodge,RAM 250,NaN,"136,123km",1985,Petrol,NaN,Pink,NaN,Manual,0,0,0,0
82,"5,600 EUR",Dodge,RAM 100,NaN,"67,231km",1985,Petrol,NaN,White,NaN,Manual,0,0,0,0
83,"7,620 EUR",Dodge,RAM 250,NaN,"250,172km",1985,Petrol,NaN,Blue,NaN,Manual,0,0,0,0
84,"42,373 EUR",Dodge,RAM 350,NaN,"130,350km",1985,Petrol,NaN,White,NaN,Manual,0,0,0,0
85,"8,471 EUR",Dodge,RAM 350,NaN,"118,671km",1985,Petrol,NaN,Red,NaN,Manual,0,0,0,0
86,"27,500 EUR",Mercedes Benz,Sl-Class,600 SL,"151,092 km",1985,Petrol,Convertible,Purple,136 kW (185 HP),Automatic,0,0,0,0
87,"17,490 EUR",Mercedes Benz,Ml-Class,350 CDI,"222,578 km",1985,Diesel,N/A,Green,170 kW (231 HP),Automatic,0,0,0,0
88,"19,535 EUR (21,500 CHF)",Nissan,Micra,1.0,250 km,1985,Petrol,N/A,Gray,68 kW (92 HP),Automatic,0,0,0,0
89,"11,900 EUR",Toyota,Mr2,1.6,"195,000 km",1985,Petrol,,Red,91 kW (124 HP),Manual,0,0,0,0
90,"15,783 EUR (17,500 USD)",Porsche,928,4.7 S,"49,880 mi",1985,Petrol,Coupe,White,,Manual,0,0,0,0
91,"19,990 EUR",Mercedes Benz,S-Class,55 AMG,"126,879 km",1985,Petrol,Sedan,Green,265 kW (360 HP),Automatic,0,0,0,0
92,"2,701 EUR (2,995 USD)",Mercedes Benz,190,,"130,656 mi",1985,,Sedan,Green,,Automatic,0,0,0,0
93,"15,990 EUR",Bmw,7 Series,,"11,000 km",1985,Petrol,Sedan,Orange,187 kW (254 HP),,0,0,0,0
94,"24,800 EUR",Mercedes Benz,Sl-Class,,"155,000 km",1985,Petrol,Convertible,White,,,0,0,0,0
95,"5,500 EUR",Alfa Romeo,90,2.0,"65,000 km",1985,Petrol,Sedan,White,,Manual,0,0,0,0
96,"71,850 EUR",Porsche,911 Turbo,,"129,930 km",1985,Petrol,,Red,172 kW (234 HP),Manual,0,0,0,0
97,"22,715 EUR (25,000 CHF)",Mercedes Benz,500,5.0 SEL,"115,135 km",1985,Petrol,Sedan,Gray,172 kW (234 HP),Automatic,0,0,0,0
98,"12,500 EUR",Mercedes Benz,S-Class,,"150,141 km",1985,Petrol,,Green,,Automatic,0,0,0,0
99,"18,500 EUR",Mercedes Benz,S-Class,,"133,000 km",1985,Petrol,,Gray,,,0,0,0,0
100,"10,500 EUR",Bmw,5 Series,520i,"183,194 km",1985,Petrol,Sedan,Silver,90 kW (122 HP),,0,0,0,0
101,"19,500 EUR",Porsche,944,2.5,"229,161 km",1985,Petrol,Coupe,Brown,164 kW (223 HP),,0,0,0,0
102,"29,950 EUR",Mercedes Benz,S-Class,280 S,"27,874 km",1985,Petrol,Sedan,Silver,115 kW (156 HP),,0,0,0,0
103,"33,165 EUR (36,500 CHF)",Nissan,Leaf,,"1,100 km",1985,Electric,N/A,Gray,161 kW (219 HP),Automatic,0,0,0,0
104,"21,990 EUR",Mercedes Benz,B-Class,,"214,000 km",1985,Petrol,,Black,172 kW (234 HP),,0,0,0,0
